doi,authors
10.1051/shsconf/202315701022,['Yihan Sun']
10.1093/pubmed/fdaa260,['Gretta Mohan']
10.2139/ssrn.2152161,['Gerald C. Ogbuja']
10.1177/070674377001500209,['Clóvis Martins']
10.1001/jama.1971.03180210075039,['Saul I. Harrison']
10.1080/10852352.2016.1102590,"['Bárbara Barbosa Nepomuceno', 'A. Cardoso', 'Verônica Morais Ximenes', 'João Paulo Pereira Barros', 'Jáder Ferreira Leite']"
10.1176/appi.ps.201700317,"['Lindsay A. Bornheimer', 'Mary Acri', 'Geetha Gopalan', 'Mary M. McKay']"
10.1017/s0956793319000372,['Steven J. Taylor']
10.2105/ajph.93.9.1576,"['Tama Leventhal', 'Jeanne Brooks‐Gunn']"
10.1080/15332985.2017.1319893,"['Mary Acri', 'Lindsay A. Bornheimer', 'Lauren Jessell', 'Aminda Heckman Chomancuzuk', 'Joshua G. Adler', 'Geetha Gopalan', 'Mary M. McKay']"
10.1080/19371918.2021.1905579,"['Meredith R. Williams', 'D. Phuong']"
10.1177/10253823050120020104x,['Vikram Patel']
10.1177/0706743719830027,"['Michael H. Boyle', 'Katholiki Georgiades', 'Laura Duncan', 'Li Wang', 'Jinette Comeau']"
10.1177/1359105317737608,"['Chunkai Li', 'Shan Jiang', 'Xiaotong Fang']"
10.1080/17441692.2014.947302,"['Desiree M. Seponski', 'Denise C. Lewis', 'Maegan C. Megginson']"
10.25215/0402.123,"['Anil Kumar', 'Rakesh Kumar Behmani']"
10.1016/j.ehb.2024.101404,"['Dorothée Charlier', 'Bérangère Legendre']"
10.1136/bmj.317.7151.115,"['Scott Weich', 'Glyn Lewis']"
10.1177/2156869317731603,"['Lisa Strohschein', 'Anne H. Gauthier']"
10.1080/15374416.2014.893519,"['Mary M. McKay', 'Stacey Alicea', 'Laura Elwyn', 'Zachary R. B. McClain', 'Gary Parker', 'Latoya Small', 'Claude A. Mellins']"
10.7870/cjcmh-2014-006,"['Kate Tilleczek', 'Moira Ferguson', 'Valerie Campbell', 'Katherine Elizabeth Lezeu']"
10.1002/imhj.20018,['Linda Richter']
10.1001/jama.1996.03540130037027,['John E. Ware']
10.1080/10875549.2017.1419532,"['Bill McCarthy', 'Angela Carter', 'Mikael Jansson', 'Cecilia Benoit', 'Ryan Finnigan']"
10.1016/j.ssmph.2020.100599,"['Marina Tulin', 'Sanne Smith']"
10.1080/14459795.2016.1172651,['Mark van der Maas']
10.1371/journal.pone.0201437,"['Lori E. Ross', 'Margaret F. Gibson', 'Andrea Daley', 'Leah S. Steele', 'Charmaine C. Williams']"
10.1016/s2468-2667(20)30084-0,"['Wim Van Lancker', 'Zachary Parolin']"
10.1177/1365480219835323,['Joan Mowat']
10.1177/1359105317718379,"['Chunkai Li', 'Margaret Xi Can Yin', 'Shan Jiang']"
10.2307/4594868,"['James Michael Weiss', 'Donald K. Freeborn', 'Sara Lamb']"
10.1192/bji.2021.22,"['Jude Mary Cénat', 'Boniface Harerimana', 'Guesly Michel', 'Sara-Emilie McIntee', 'Joana N. Mukunzi', 'Saba Hajizadeh', 'Rose Darly Dalexis']"
10.1111/j.1939-0025.1966.tb02317.x,"['Quentin Rae-Grant', 'Thomas E. Gladwin', 'Eli M. Bower']"
10.1176/appi.ps.53.12.1547,"['Margarita Alegrı́a', 'Glorisa Canino', 'Ruth Ríos', 'Mildred Vera', 'José Calderón', 'Dana Rusch', 'Alexander N. Ortega']"
10.1111/1471-6402.00090,"['Deborah Belle', 'Joanne Doucet']"
10.1002/jcop.20157,"['Stacy L. Frazier', 'Jaleel Abdul‐Adil', 'Marc S. Atkins', 'Tamara Gathright', 'Maudette Jackson']"
10.1111/camh.12196,"['Lucie Nadeau', 'Vanessa Lecompte', 'Janique Johnson‐Lafleur', 'Annie Pontbriand', 'Cécile Rousseau']"
10.1186/1478-4505-10-30,"['Tolib Mirzoev', 'Maye Omar', 'Andrew T Green', 'Philippa K Bird', 'Crick Lund', 'Angela Ofori-Atta', 'Victor Doku']"
10.1126/science.1224648,"['Jens Ludwig', 'Greg J. Duncan', 'Lisa A. Gennetian', 'Lawrence F. Katz', 'Ronald C. Kessler', 'Jeffrey R. Kling', 'Lisa Sanbonmatsu']"
10.1016/j.ssmph.2021.100909,"['Theocharis Kromydas', 'RM Thomson', 'Andrew Pulford', 'Michael J. Green', 'Srinivasa Vittal Katikireddi']"
10.1001/archpsyc.1996.01830120067012,['E. Jane Costello']
10.1080/09540121.2015.1099604,"['Ezer Kang', 'Darcie A. P. Delzell', 'Paul E. McNamara', 'Joel Cuffey', 'Anil Cherian', 'Saira Matthew']"
10.3390/ijerph17238855,"['Jiao Chen', 'Anli Leng', 'Stephen Nicholas', 'Elizabeth Maitland', 'Jian Wang', 'Qinfeng Zhao', 'Lizheng Xu', 'Chaofan Gong']"
10.1371/journal.pone.0243457,"['Keetie Roelen', 'Emily P. Taylor']"
10.1007/s00406-022-01508-3,"['Debora Darabi', 'Ulrike Kluge', 'Simone Penka', 'Adrian P. Mundt', 'Meryam Schouler‐Ocak', 'Jeffrey Butler', 'Shuyan Liu', 'Andreas Heinz', 'Michael A. Rapp']"
10.1057/s41599-022-01276-4,"['Xuefeng Li', 'Han Yang', 'Jin Jia']"
10.1080/09540121.2018.1469727,"['Shelene Gentz', 'Isabel Calonge-Romano', 'Rosario Martínez‐Arias', 'Chengbo Zeng', 'Mónica Ruiz‐Casares']"
10.1080/15487768.2013.789684,['Jeffrey Draine']
10.1017/s2045796015000050,['Crick Lund']
10.1111/1540-6040.00017,"['Carey Usher Mitchell', 'Mark LaGory']"
10.1037/a0037422,['Lonnie R. Snowden']
10.1080/01488376.2014.972010,"['Heidi Gilroy', 'Angeles Nava', 'John Maddoux', 'Judith McFarlane', 'Lene Symes', 'Anne Koci', 'Nina Fredland']"
10.1108/13666282200100016,['Lisa Bird']
10.1016/j.ssmph.2017.10.004,"['Joanna Maselko', 'Lisa M. Bates', 'Sonia Bhalotra', 'John A. Gallis', 'Karen O’Donnell', 'Siham Sikander', 'Elizabeth L. Turner']"
10.1080/0305764x.2019.1702624,['Joan Mowat']
10.1186/s12199-020-00887-0,"['Yin Yang', 'Hui Deng', 'Qingqing Yang', 'Xianbin Ding', 'Deqiang Mao', 'Xiaosong Ma', 'Xiao BangZhong', 'Zhaohui Zhong']"
10.1093/ije/dyh372,"['Michael Marmot', 'Eric J. Brunner']"
10.3390/ijerph20176672,"['Li Yanghan', 'Tianyi Chen', 'Quan Li', 'Linxiu Jiang']"
10.1080/00207411.2016.1215217,"['Maureen Canavan', 'Heather Sipsma', 'Helen E. Jack', 'Sammy Ohene', 'Robert M. Rohrbaugh', 'Elizabeth H. Bradley', 'Angela Ofori-Atta']"
10.1037/e403882008-001,"['John R. Pleis', 'Margaret Lethbridge‐Çejku']"
10.1080/13691058.2020.1817562,"['Ambar Basu', 'Nivethitha Ketheeswaran', 'Brianna R. Cusanno']"
10.2105/ajph.87.5.827,"['E. Jane Costello', 'Elizabeth M. Z. Farmer', 'Adrian Angold', 'Barbara J. Burns', 'Alaattin Erkanli']"
10.1192/bjp.170.4.351,"['Derrick Silove', 'Ingrid Sinnerbrink', 'Annette Field', 'Vijaya Manicavasagar', 'Zachary Steel']"
10.1046/j.1365-2788.2003.00498.x,['Eric Emerson']
10.1016/j.ssmmh.2022.100103,"['Matthew Shupler', 'Miranda Baame', 'Emily Nix', 'Theresa Tawiah', 'Federico Lorenzetti', 'Jason Saah', 'Rachel Anderson de Cuevas', 'Edna Sang', 'Elisa Puzzolo', 'Judith Mangeni', 'Emmanuel Betang', 'Mieks Twumasi', 'Seeba Amenga‐Etego', 'Reginald Quansah', 'Bertrand Mbatchou', 'Diana Menya', 'Kwaku Poku Asante', 'Daniel Pope']"
10.4103/0019-5545.43623,"['JitendraK Trivedi', 'Himanshu Sareen', 'Mohan Dhyani']"
10.1080/13607863.2012.727381,"['Deborah Schofield', 'Emily Callander', 'Rupendra Shrestha', 'Richard Percival', 'Simon Kelly', 'Megan Passey']"
10.1080/13645579.2012.709802,"['Philippa K Bird', 'Victoria Campbell-Hall', 'Ritsuko Kakuma', 'The MHaPP Research Programme Consor']"
10.1177/097206340901100205,['Lorena Núñez']
10.5860/choice.43-3453,['João Biehl']
10.1093/ije/dyg084,"['Mai Stafford', 'Michael Marmot']"
10.1017/s0033291707002516,"['Rachel Jenkins', 'D. Bhugra', 'Paul Bebbington', 'Traolach Brugha', 'Michael Farrell', 'Jeremy Coid', 'Tom Fryers', 'Scott Weich', 'Nicola Singleton', 'Howard Meltzer']"
10.3390/ijerph17103470,"['Mark Spreckley', 'David Macleod', 'Brenda González Trampe', 'Andrew Smith', 'Hannah Kuper']"
10.3390/ijerph14060584,"['Harriet Thomson', 'Carolyn Snell', 'Stefan Bouzarovski']"
10.1136/bmj.322.7285.544,['Angela Burnett']
10.1177/0020764018795213,"['Giuseppe Carrà', 'Francesco Bartoli', 'Ilaria Riboldi', 'Giulia Trotta', 'Cristina Crocamo']"
10.1016/j.jadohealth.2023.07.029,"['Nicholas Kofi Adjei', 'Daniela K. Schlüter', 'Gabriella Melis', 'Viviane S. Straatmann', 'Kate M. Fleming', 'Sophie Wickham', 'Luke Munford', 'Ruth McGovern', 'Louise M. Howard', 'Eileen Kaner', 'Ingrid Wolfe', 'David Taylor‐Robinson']"
10.1177/0963721416655883,"['Katie A. McLaughlin', 'Margaret A. Sheridan']"
10.1016/s2214-109x(21)00245-x,"['Miguel Parra‐Saavedra', 'Jezid Miranda']"
